,ID,drugName,condition,patientreview,rating,reviewdate,Useful,Manual_Sentiment,review_cleaned,reviewchars,reviewchars_clean,reviewwords,reviewwords_clean,reviewsentence,reviewsentence_clean,emotions,NRCsent
922,31995,Brimonidine / timolol,Glaucoma,"""My eyes are very red and everyone thinks I have been smoking weed,-that&#039;s how bad they look.  They hurt and are light sensitive.  I am going to ask to change to something else.  I can&#039;t deal with this.""",5.0,2017-08-28,2,0.0,eye red think smoke weedthat bad look hurt light sensitive go ask change not deal,213,81,56,15,4,1,"{'fear': 0.2, 'anger': 0.13333333333333333, 'anticip': 0.0, 'trust': 0.06666666666666667, 'surprise': 0.06666666666666667, 'positive': 0.06666666666666667, 'negative': 0.13333333333333333, 'sadness': 0.13333333333333333, 'disgust': 0.06666666666666667, 'joy': 0.06666666666666667, 'anticipation': 0.06666666666666667}",fear
963,46651,Gardasil,Human Papillomavirus Prophylaxis,"""I&#039;m 18 years old and have had all three of these shots. I don&#039;t understand why people make this shot to be such a big deal. It barely hurt when I got them. Even if it did, who cares? If the shot is going to help you out in the long run. I never had any bad side effects I recommend it to any woman who likes to be proactive.""",10.0,2011-07-17,13,1.0,m year old shot not understand people shot big deal barely hurt get care shot go help long run bad effect recommend woman like proactive,336,136,89,25,6,1,"{'fear': 0.15625, 'anger': 0.15625, 'anticip': 0.0, 'trust': 0.0625, 'surprise': 0.125, 'positive': 0.0625, 'negative': 0.15625, 'sadness': 0.15625, 'disgust': 0.03125, 'joy': 0.03125, 'anticipation': 0.0625}",fear
1308,86674,Narcan Injection,Opioid Overdose,"""I took a fatal dose of Heroin in February 2016 and was given 2 shots of Narcan and it saved my life!""",10.0,2016-06-11,5,1.0,take fatal dose heroin february give shot narcan save life,102,58,25,10,1,1,"{'fear': 0.15384615384615385, 'anger': 0.15384615384615385, 'anticip': 0.0, 'trust': 0.07692307692307693, 'surprise': 0.07692307692307693, 'positive': 0.07692307692307693, 'negative': 0.23076923076923078, 'sadness': 0.15384615384615385, 'disgust': 0.0, 'joy': 0.07692307692307693}",negative
1352,213369,Nuvigil,Shift Work Sleep Disorde,"""I have been using Nuvigil for one week now.  It was working great in the beginning but after around the third day I got extremely tired around 12pm and all I wanted to do was take a nap.  I continue to take it thinking that this will change.  I only take 150mg, maybe I should ask the doctor to up the dose.""",4.0,2010-08-27,17,0.0,nuvigil week work great beginning day get extremely tired pm want nap continue think change mg maybe ask doctor dose,309,116,69,20,4,1,"{'fear': 0.1111111111111111, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.2222222222222222, 'surprise': 0.0, 'positive': 0.3333333333333333, 'negative': 0.1111111111111111, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.1111111111111111, 'anticipation': 0.1111111111111111}",positive
1365,139492,Armodafinil,Obstructive Sleep Apnea/Hypopnea Syndrome,"""Nuvigil was a blessing when I started it 18 months ago.  I was alert and focused, not depressed, AND retained my creativity!  I think I&#039;ve become dependent upon it since I feel awful without it.  This week the doctor wants me to try going to 250mg since I&#039;ve been a bit down with shorter days and less focused.  Due to cardiac conditions, amphetamines are not really a safe option.  All said, at age 51, it&#039;s been pretty much a wonder drug treating multiple conditions.""",8.0,2010-10-23,31,1.0,nuvigil blessing start month ago alert focus depress retain creativity think ve dependent feel awful week doctor want try go mg ve bit short day focus cardiac condition amphetamine safe option say age pretty wonder drug treat multiple condition,486,244,112,39,6,1,"{'fear': 0.07692307692307693, 'anger': 0.05128205128205128, 'anticip': 0.0, 'trust': 0.1794871794871795, 'surprise': 0.02564102564102564, 'positive': 0.23076923076923078, 'negative': 0.10256410256410256, 'sadness': 0.07692307692307693, 'disgust': 0.05128205128205128, 'joy': 0.10256410256410256, 'anticipation': 0.10256410256410256}",positive
1377,180215,Doxylamine / pyridoxine,Nausea/Vomiting of Pregnancy,"""I want to throw a ticker tape parade for the manufacturers of this medicine. It changed my life. I&#039;m 13 weeks and was flat on my back gagging all day every day. I tried all the tricks and nothing worked until I tried this. I am back in the land of the living and hoping to regain the 10 lbs I lost in the 1st trimester.

I did A LOT of research and there is nothing that indicates that this medicine causes any problems whatsoever for baby. It is probably the best researched medicine on the market to date. Emily Oster&#039;s book Expecting Better has a nice explanation for why it was pulled in the US (but not UK or Canada) for 30 yrs.""",10.0,2015-03-24,21,1.0,want throw ticker tape parade manufacturer medicine change life m week flat gag day day try trick work try land living hope regain lbs lose st trimester lot research indicate medicine cause problem whatsoever baby probably well research medicine market date emily osters book expect well nice explanation pull uk canada yrs,647,323,146,52,8,1,"{'fear': 0.11764705882352941, 'anger': 0.029411764705882353, 'anticip': 0.0, 'trust': 0.058823529411764705, 'surprise': 0.14705882352941177, 'positive': 0.20588235294117646, 'negative': 0.14705882352941177, 'sadness': 0.058823529411764705, 'disgust': 0.058823529411764705, 'joy': 0.08823529411764706, 'anticipation': 0.08823529411764706}",positive
1525,180163,Doxylamine / pyridoxine,Nausea/Vomiting of Pregnancy,"""It actually makes me vomit violently. It feels like it&#039;s burning a hole in my stomach. I&#039;ve tried 3 different times. I have Hyperemesis and I take Zofran and Phenergan and when I try to add delcegis I vomit 10x back to back until it&#039;s out.... Awful awful stuff.""",1.0,2016-12-16,6,-1.0,actually make vomit violently feel like burn hole stomach ve try different time hyperemesis zofran phenergan try add delcegis vomit x awful awful stuff,278,151,71,24,5,1,"{'fear': 0.15789473684210525, 'anger': 0.15789473684210525, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.15789473684210525, 'sadness': 0.15789473684210525, 'disgust': 0.3157894736842105, 'joy': 0.0, 'anticipation': 0.05263157894736842}",disgust
1546,101022,Plecanatide,Chronic Idiopathic Constipation,"""I was on Linzess using it only time from time as it caused severe bloating and diarrhea. I was skipping doses and was constipated then. It always required a decision should I take a pill today or not.

For the last 2 months I am using Trulance and it is perfect. I am taking it in the morning and forgetting. It just works! Smooth and nice. I already forgot what diarrhea is! I feel like my life is changed""",10.0,2017-08-11,25,1.0,linzess time time cause severe bloating diarrhea skip dose constipate require decision pill today month trulance perfect take morning forget work smooth nice forgot diarrhea feel like life change,410,195,89,29,9,1,"{'fear': 0.09090909090909091, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.18181818181818182, 'surprise': 0.0, 'positive': 0.18181818181818182, 'negative': 0.18181818181818182, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.09090909090909091, 'anticipation': 0.2727272727272727}",anticipation
1593,180174,Doxylamine / pyridoxine,Nausea/Vomiting of Pregnancy,"""This medicine was a lifesaver! I had horrible morning sickness and took it beginning in my second trimester up until the day before labor! I&#039;d get horribly sick without it. My daughter turned out perfectly healthy.""",10.0,2016-07-13,12,1.0,medicine lifesaver horrible morning sickness take begin second trimester day labor d horribly sick daughter turn perfectly healthy,221,130,47,18,4,1,"{'fear': 0.1, 'anger': 0.05, 'anticip': 0.0, 'trust': 0.05, 'surprise': 0.05, 'positive': 0.15, 'negative': 0.2, 'sadness': 0.1, 'disgust': 0.15, 'joy': 0.1, 'anticipation': 0.05}",negative
1708,94952,Abilify,Agitated State,"""My 10-yr old son has been taking 1 mg Abilify in the morning for the past 4 months.  He used to be prone to loud shouting, hitting, spitting, etc. at home, but now little things don&#039;t bother him as much and he&#039;s easier to reason with.  No side effects from this dose seem apparent so far.

He&#039;s also taking 36 mg Concerta for ADD symptoms which would otherwise keep him from functioning for more than a couple of hours in the classroom.  He&#039;s also taking Depakote for seizure control.  He&#039;s been seizure-free for 2.5 years now, and we are gradually reducing that dose to zero.  Eventually, we hope to reduce all these drugs to zero, one at a time.""",7.0,2010-01-04,27,1.0,yr old son take mg abilify morning past month prone loud shout hit spit etc home little thing not bother s easy reason effect dose apparent far s take mg concerta add symptom function couple hour classroom s take depakote seizure control s seizurefree year gradually reduce dose zero eventually hope reduce drug zero time,678,321,161,55,8,1,"{'fear': 0.06666666666666667, 'anger': 0.13333333333333333, 'anticip': 0.0, 'trust': 0.06666666666666667, 'surprise': 0.13333333333333333, 'positive': 0.13333333333333333, 'negative': 0.2, 'sadness': 0.0, 'disgust': 0.06666666666666667, 'joy': 0.06666666666666667, 'anticipation': 0.13333333333333333}",negative
1831,112125,Gabapentin,Neuropathic Pain,"""Because of the opiate crisis, my doctor didn&#039;t feel comfortable giving me an opiate for pain in my back and shoulder from a nasty fall. But, she gave me this medication and the pain went away and I actually felt happy. A little dizzy but nothing too bad. I recommend this medication.""",10.0,2017-05-02,12,1.0,opiate crisis doctor not feel comfortable give opiate pain shoulder nasty fall give medication pain go away actually feel happy little dizzy bad recommend medication,290,165,65,25,4,1,"{'fear': 0.125, 'anger': 0.0625, 'anticip': 0.0, 'trust': 0.125, 'surprise': 0.0, 'positive': 0.125, 'negative': 0.28125, 'sadness': 0.15625, 'disgust': 0.0625, 'joy': 0.03125, 'anticipation': 0.03125}",negative
2038,63083,Tranexamic acid,Menorrhagia,"""I&#039;ve been taking Lysteda for over a year and I absolutely love it! I have fibroids and I bleed very heavily (soak a super plus tampon in an hour). With Lysteda my periods are so much better! I take 4 pills per day (morning and night) for two days and the bleeding is decreased by about 60% to 70%. I do get headaches after taking it but it&#039;s worth it.""",9.0,2013-03-13,77,1.0,ve take lysteda year absolutely love fibroid bleed heavily soak super plus tampon hour lysteda period well pill day morning night day bleeding decrease headache take worth,363,171,93,27,5,1,"{'fear': 0.07692307692307693, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.07692307692307693, 'surprise': 0.0, 'positive': 0.23076923076923078, 'negative': 0.38461538461538464, 'sadness': 0.07692307692307693, 'disgust': 0.07692307692307693, 'joy': 0.07692307692307693}",negative
2230,91953,Lyrica,Neuropathic Pain,"""I started takining this medication about a week ago, AMAZING! My Dr prescribed for the pain shooting down arm and hand from cervical and thoracic issues. I was writhing in pain at night so much so I could barely walk. After just 1 dose total difference, I take just 75mg before bed, I do notice a feeling of doppiness upon waking but it is usually gone a couple hours later, unless I take Tylenol Motrin . One of the side effects I have had is the swollen eyes and crusted eyes. I am very tired and need a nap, I Find the pill seems to work for about 20hrs for nerve pain and the it starts screaming back.""",9.0,2014-10-15,84,1.0,start takine medication week ago amaze dr prescribe pain shoot arm hand cervical thoracic issue writhe pain night barely walk dose total difference mg bed notice feeling doppiness wake usually go couple hour later tylenol motrin effect swollen eye crust eye tired need nap find pill work hrs nerve pain start scream,607,315,130,52,6,1,"{'fear': 0.16216216216216217, 'anger': 0.08108108108108109, 'anticip': 0.0, 'trust': 0.05405405405405406, 'surprise': 0.08108108108108109, 'positive': 0.10810810810810811, 'negative': 0.21621621621621623, 'sadness': 0.10810810810810811, 'disgust': 0.05405405405405406, 'joy': 0.05405405405405406, 'anticipation': 0.08108108108108109}",negative
2252,54205,Naloxegol,"Constipation, Drug Induced","""I tried Movantik and it worked very quick but made my stool pure blood. I had heard about that side effect before but never experienced it until then. It scared the hell out of me. I haven&#039;t taken it since.""",1.0,2017-01-20,24,-1.0,try movantik work quick stool pure blood hear effect experience scare hell not take,213,83,51,14,4,1,"{'fear': 0.2, 'anger': 0.2, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.1, 'positive': 0.0, 'negative': 0.2, 'sadness': 0.1, 'disgust': 0.1, 'joy': 0.0, 'anticipation': 0.1}",fear
2262,175155,Relistor,"Constipation, Drug Induced","""I&#039;ve been on a variety of pain meds since 2006 from a 92# treelimb falling on me and had become quite impact constipated because of them. After yrs of trying many many different kinds of laxatives &amp; eating plenty of fruits my Dr finally asked me today(while refilling my medtronics morphine pump) if I had ever tried this injection. He gave me a sample &amp; told me to be close to a toilet so I just now gave myself the injection, now that I&#039;m home. So far the only thing I&#039;m feeling is activity in my stomach as if things will be happening soon...no bad cramps, headache, sweats...just motion in my stomach. It started almost immediately &amp; now 1/2 an hour has passed and I am still waiting..
Will keep you posted...""",2.0,2015-04-22,13,-1.0,ve variety pain med treelimb fall impact constipate yrs try different kind laxatives amp eat plenty fruit dr finally ask todaywhile refill medtronic morphine pump try injection give sample amp tell close toilet give injection m home far thing m feel activity stomach thing happen soonno bad cramp headache sweatsjust motion stomach start immediately amp hour pass wait post,743,373,172,59,5,1,"{'fear': 0.10810810810810811, 'anger': 0.02702702702702703, 'anticip': 0.0, 'trust': 0.05405405405405406, 'surprise': 0.02702702702702703, 'positive': 0.10810810810810811, 'negative': 0.21621621621621623, 'sadness': 0.08108108108108109, 'disgust': 0.13513513513513514, 'joy': 0.05405405405405406, 'anticipation': 0.1891891891891892}",negative
2266,214740,Warfarin,"Pulmonary Embolism, Recurrent Event","""I have multi Blood Clots in both Lungs. I&#039;ve been on Warfarin 5mg since Mar 2012, prior to that I had a blood clot in one lung back in 2007 following surgery. My experience has been devastating like a walking Time Boom. I&#039;m Alive thanks to my Doctors and my meds. My INR ranges 2.0 / 3.2 I now get my Pro-Time check once monthly. However I&#039;ll be on warfarin for the rest of my Life. Just  have to be extra careful on any other meds my Doctor puts me on.""",10.0,2012-10-12,30,1.0,multi blood clot lung ve warfarin mg mar prior blood clot lung follow surgery experience devastating like walk time boom m alive thank doctor med inr range protime check monthly ill warfarin rest life extra careful med doctor put,470,229,116,39,7,1,"{'fear': 0.11538461538461539, 'anger': 0.07692307692307693, 'anticip': 0.0, 'trust': 0.15384615384615385, 'surprise': 0.0, 'positive': 0.23076923076923078, 'negative': 0.11538461538461539, 'sadness': 0.11538461538461539, 'disgust': 0.07692307692307693, 'joy': 0.038461538461538464, 'anticipation': 0.07692307692307693}",positive
2301,18679,Cabergoline,Hyperprolactinemia,"""I am 34 years of age male and for years since 2003 when I was just 21 years of age started feeling really depressed and started suffering with anxiety but prior in the build up to this I had also suffered from depleted sex drive foggy memory moods swings low energy always needed an afternoon nap to get me through the day no matter how much sleep I had.

Any way I had been going docs for years I was prescribed Citalopram which did 90% eradicate the anxiety and definitely the depression but I still suffered with the other symptoms. I always told them how I felt had tests for diabetes checked my thyroid etc all come back clear.

Long story short found out I had a pituitary tumour and took Carbegoline and everything cleared up felt great!!!!!""",10.0,2017-02-20,13,1.0,year age male year year age started feel depressed start suffer anxiety prior build suffer deplete sex drive foggy memory mood swing low energy need afternoon nap day matter sleep way go doc year prescribe citalopram eradicate anxiety definitely depression suffer symptom tell felt test diabetes check thyroid etc come clear long story short find pituitary tumour take carbegoline clear feel great,754,397,149,62,4,1,"{'fear': 0.11764705882352941, 'anger': 0.11764705882352941, 'anticip': 0.0, 'trust': 0.029411764705882353, 'surprise': 0.0, 'positive': 0.08823529411764706, 'negative': 0.29411764705882354, 'sadness': 0.14705882352941177, 'disgust': 0.0, 'joy': 0.058823529411764705, 'anticipation': 0.14705882352941177}",negative
2432,190799,Klor-Con,Prevention of Hypokalemia,"""Increased urination and loss of bladder control.""",5.0,2013-12-20,13,0.0,increase urination loss bladder control,50,39,10,5,1,1,"{'fear': 0.2, 'anger': 0.2, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.2, 'negative': 0.2, 'sadness': 0.2, 'disgust': 0.0, 'joy': 0.0}",fear
2453,111026,Diclegis,Nausea/Vomiting of Pregnancy,"""I have all day sickness. I started taking it around 9 weeks, after 24 hrs of straight vomiting, and when I woke the next day, I was able to keep something down. Initially, I was sleepy, but I started taking 1 pill every 6-8 hrs and I usually have no sleepiness issues and I&#039;m able to eat throughout the day. I&#039;m 16 weeks and still on it because without it, I still have times/days where I feel sick. When I forget to take a dose is when it doesn&#039;t work - I think each person will need to figure out the best times to take it.""",8.0,2016-07-13,5,1.0,day sickness start take week hrs straight vomiting wake day able initially sleepy start take pill hrs usually sleepiness issue m able eat day m week timesday feel sick forget dose not work think person need figure good time,542,223,134,39,5,1,"{'fear': 0.05, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.1, 'surprise': 0.05, 'positive': 0.15, 'negative': 0.2, 'sadness': 0.1, 'disgust': 0.1, 'joy': 0.05, 'anticipation': 0.2}",negative
2498,156973,Movantik,"Constipation, Drug Induced","""Made me so sick for about 8 hours and no bm.
This medicine is dangerous!! I would have called 911 but was in so much pain I couldn&#039;t even speak!!""",1.0,2017-09-04,8,-1.0,sick hour bm medicine dangerous call pain not speak,153,51,42,9,3,1,"{'fear': 0.25, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.0, 'surprise': 0.0, 'positive': 0.0, 'negative': 0.375, 'sadness': 0.25, 'disgust': 0.125, 'joy': 0.0}",negative
2657,133832,Restasis,Keratoconjunctivitis Sicca,"""I am a senior citizen who has been on Restasis for 5 yrs.  It is so expensive that using it puts me in the medicare donut hole.  The drug company, Allergan, is unwilling to give me assistance in the form of samples and my dr&#039;s office gave me two samples one time during the 5 yr. period and after that will not help.  I was refused two samples to get me through until Jan 1 when my new insurance year begins.  It costs $481.35 for a monthly supply so even though my copay is only $30, I am in the donut hole by August at the latest.  Allergan has a racket going on here at the expense of the patient. It&#039;s not affordable even though it&#039;s effective. Totally unfair, corrupt company.""",9.0,2016-10-19,39,1.0,senior citizen restasis yrs expensive put medicare donut hole drug company allergan unwilling assistance form sample drs office give sample time yr period help refuse sample jan new insurance year begin cost monthly supply copay donut hole august late allergan racket go expense patient affordable effective totally unfair corrupt company,698,338,162,50,8,1,"{'fear': 0.0, 'anger': 0.05555555555555555, 'anticip': 0.0, 'trust': 0.05555555555555555, 'surprise': 0.0, 'positive': 0.3333333333333333, 'negative': 0.2777777777777778, 'sadness': 0.1111111111111111, 'disgust': 0.05555555555555555, 'joy': 0.0, 'anticipation': 0.1111111111111111}",positive
2801,173960,Sandostatin,Carcinoid Tum,"""I agree with the other review.  This product has been a life saver for me.  It has completely taken away my other symptoms.  The only drawback for me is fatigue, but honestly I can live with it considering everything else that I am dealing with prior to taking this medication.""",10.0,2013-01-04,26,1.0,agree review product life saver completely take away symptom drawback fatigue honestly live consider deal prior take medication,279,127,57,18,4,1,"{'fear': 0.0, 'anger': 0.0, 'anticip': 0.0, 'trust': 0.1, 'surprise': 0.1, 'positive': 0.3, 'negative': 0.3, 'sadness': 0.0, 'disgust': 0.0, 'joy': 0.1, 'anticipation': 0.1}",positive
